"","location","year","region","hc_sq","hc_cf","hc_cf_lower","hc_cf_upper","sav_rate","gdp_sq","cs_sq"
"2826","Republic of Korea",2026,"East Asia and Pacific",363713512.989211,363877169.97708,363836589.318688,363928819.356606,35.4999241334189,2547723267124.22,12455864934552.1
"2827","Republic of Korea",2027,"East Asia and Pacific",361212321.51444,361374933.497153,361334966.637568,361425668.992635,35.4999241334189,2603110770951.5,12737511514783
"2828","Republic of Korea",2028,"East Asia and Pacific",358759040.765336,358918386.500231,358879444.019919,358967766.727313,35.4999241334189,2658140532649.41,13024738287840.5
"2829","Republic of Korea",2029,"East Asia and Pacific",355831193.187481,355985949.765685,355948239.855772,356033756.164852,35.4999241334189,2732182521364.07,13317139245898.7
"2830","Republic of Korea",2030,"East Asia and Pacific",352728378.435178,352878447.893268,352841931.381601,352924743.201872,35.4999241334189,2808286935306.25,13621205005874.5
"2831","Republic of Korea",2031,"East Asia and Pacific",349548264.730401,349693434.964775,349658151.965972,349738169.254185,35.4999241334189,2886511222930.43,13937084487063.2
"2832","Republic of Korea",2032,"East Asia and Pacific",346306002.042151,346446409.12132,346412321.774462,346489628.675102,35.4999241334189,2966914432906.67,14264939556953
"2833","Republic of Korea",2033,"East Asia and Pacific",343003865.973013,343139627.693546,343106707.846288,343181365.60449,35.4999241334189,3049557258694.24,14604944951890.7
"2834","Republic of Korea",2034,"East Asia and Pacific",339343530.025105,339474313.543481,339442641.76031,339514467.992586,35.4999241334189,3134502084356.97,14957288217537.7
"2835","Republic of Korea",2035,"East Asia and Pacific",335410546.224806,335536470.511841,335506009.793606,335575084.455481,35.4999241334189,3221813031654.67,15322169668568
"2836","Republic of Korea",2036,"East Asia and Pacific",331617165.87838,331738501.483747,331709185.314349,331775657.420847,35.4999241334189,3311556008446.33,15699802367097.6
"2837","Republic of Korea",2037,"East Asia and Pacific",327906031.607196,328022888.96432,327994691.019829,328058621.003135,35.4999241334189,3403798758441.55,16090412119376.9
"2838","Republic of Korea",2038,"East Asia and Pacific",324321296.265989,324434013.776888,324406848.135479,324468429.907111,35.4999241334189,3498610912337.83,16494237490309
"2839","Republic of Korea",2039,"East Asia and Pacific",320714041.334282,320822725.74882,320796569.00954,320855858.95996,35.4999241334189,3596064040382.23,16911529835397
"2840","Republic of Korea",2040,"East Asia and Pacific",316875077.492873,316979823.897468,316954651.375633,317011709.128482,35.4999241334189,3696231706397.16,17342553349752
"2841","Republic of Korea",2041,"East Asia and Pacific",313225574.25204,313326768.488582,313302482.184194,313357529.876194,35.4999241334189,3799189523311.02,17787585133830.8
"2842","Republic of Korea",2042,"East Asia and Pacific",309522292.805808,309620133.582008,309596684.570715,309649833.091212,35.4999241334189,3905015210235.66,18246915275599.4
"2843","Republic of Korea",2043,"East Asia and Pacific",305381861.453821,305476368.316575,305453752.499398,305505011.950521,35.4999241334189,4013788651133.71,18720846948851.6
"2844","Republic of Korea",2044,"East Asia and Pacific",301203621.487985,301294909.583,301273099.381836,301322531.198179,35.4999241334189,4125591955120.07,19209696527437.3
"2845","Republic of Korea",2045,"East Asia and Pacific",296747145.105244,296828987.402367,296810254.939609,296852755.515802,35.4999241334189,4240509518443.11,19713793715187.4
"2846","Republic of Korea",2046,"East Asia and Pacific",291947993.005179,292032565.435657,292012434.086211,292058056.898072,35.4999241334189,4358628088192.33,20233481691345.8
"2847","Republic of Korea",2047,"East Asia and Pacific",286935878.843963,287017158.846713,286997845.486162,287041611.199529,35.4999241334189,4480036827780.55,20769117271344.7
"2848","Republic of Korea",2048,"East Asia and Pacific",281590668.278006,281668711.32593,281650197.354373,281692147.311115,35.4999241334189,4604827384250.17,21321071082788.7
"2849","Republic of Korea",2049,"East Asia and Pacific",276384110.237341,276459155.859159,276441379.212017,276481653.683718,35.4999241334189,4733093957454.17,21889727756533
"2850","Republic of Korea",2050,"East Asia and Pacific",271178502.80018,271250761.716251,271233667.875637,271272390.181759,35.4999241334189,4864933371164.15,22475486132766
"2851","Republic of Moldova",2021,"Europe and central Asia",19127742.2498653,19127742.2498653,19127742.2498653,19127742.2498653,16.962215580397,35572808855,95895386349.1523
"2852","Republic of Moldova",2022,"Europe and central Asia",19095802.0186518,19098743.6143992,19098283.7501299,19099256.6261372,16.962215580397,33801638702.1096,97134553557.6823
"2853","Republic of Moldova",2023,"Europe and central Asia",21977459.9855278,21982342.9763328,21981603.0647634,21983160.5132697,16.962215580397,34480713623.635,98011332706.1569
"2854","Republic of Moldova",2024,"Europe and central Asia",21439551.8333111,21445302.0571704,21444450.1049031,21446237.7809599,16.962215580397,35958212202.4078,98959459049.3493
