"","location","year","region","hc_sq","hc_cf","hc_cf_lower","hc_cf_upper","sav_rate","gdp_sq","cs_sq","capital_share","tech_level","tc_share","he_pc","pop","tc","gdp_cf","gdp_cf_lower","gdp_cf_upper","cs_cf","cs_cf_lower","cs_cf_upper"
"2203","Mauritania",2033,"Sub-Saharan Africa",12877453.0388416,12879797.0512253,12878793.7878593,12881172.7820657,30.279267342682,40715864178.6035,144596320499.521,0.40409,12.1984081523096,0.900187995485019,236.893390439491,6198104,13217369.1563733,40726101132.3198,40724336126.3725,40728524176.8596,144639480658.829,144636601579.227,144643445439.528
"2204","Mauritania",2034,"Sub-Saharan Africa",13349533.1294492,13351992.9790389,13350940.4533825,13353436.0606616,30.279267342682,42281138049.372,149694969840.067,0.40409,12.2292367950706,0.918191755394719,236.606997700533,6348087,13791256.7505164,42292382755.4838,42290485273.6174,42294987209.9291,149743073788.537,149739804232.045,149747574010.335
"2205","Mauritania",2035,"Sub-Saharan Africa",13825428.0964569,13828008.6293911,13826904.7697631,13829521.9240032,30.279267342682,43906587046.96,155012640173.562,0.40409,12.2631263453249,0.936555590502614,236.320951196651,6500036,14386380.6977226,43918891489.7925,43916853546.4267,43921688316.9775,155065919630.734,155062239008.46,155070983451.167
"2206","Mauritania",2036,"Sub-Saharan Africa",14316636.3456664,14319344.0723952,14318186.1043463,14320931.3895028,30.279267342682,45594524533.8756,160556601037.88,0.40409,12.2959764832742,0.955286702312666,236.035250509263,6652889,15001023.0056874,45607942037.6426,45605755571.4732,45610942284.5744,160615298308.007,160611184642.526,160620955796.198
"2207","Mauritania",2037,"Sub-Saharan Africa",14820043.5703891,14822884.7914155,14821670.033048,14824549.8266619,30.279267342682,47347352807.1484,166334458963.223,0.40409,12.3291068219163,0.97439243635892,235.749895220294,6807081,15636744.1761995,47361939005.8204,47359595422.7966,47365154466.8063,166398826291.54,166394256263.396,166405109358.111
"2208","Mauritania",2038,"Sub-Saharan Africa",15332051.7561074,15335032.6468258,15333758.4684166,15336779.0316225,30.279267342682,49167566517.3129,172354167551.221,0.40409,12.3638403868748,0.993880285086098,235.464884912173,6961483,16291534.4978615,49183379781.4641,49180869804.9049,49186823197.11,172424467798.786,172419416652.28,172431410330.057
"2209","Mauritania",2039,"Sub-Saharan Africa",15840647.4957299,15843774.3781742,15842438.0539984,15845605.8746123,30.279267342682,51057756218.8314,178624038085.328,0.40409,12.4040061994638,1.01375789078782,235.180219167834,7116158,16966045.2340795,51074860218.1898,51072172711.1437,51078546879.3015,178700544418.328,178694985826.635,178708182464.064
"2210","Mauritania",2040,"Sub-Saharan Africa",16362117.2650889,16365397.7816566,16363996.0466232,16367318.8816368,30.279267342682,53020612057.0087,185152750685.737,0.40409,12.4442987950697,1.03403304860358,234.895897570718,7270616,17659608.0049001,53039070390.1916,53036194740.9836,53043014857.3812,185235747861.972,185229653442.42,185244120299.396
"2211","Mauritania",2041,"Sub-Saharan Africa",16896594.9085393,16900036.9583727,16898566.4341217,16902052.2979869,30.279267342682,55058927596.6455,191949366022.918,0.40409,12.4848289604513,1.05471370957565,234.611919704766,7425842,18375127.8201756,55078806315.1877,55075731310.8738,55083023959.9701,192039149588.312,192032489164.227,192048297759.63
"2212","Mauritania",2042,"Sub-Saharan Africa",17441515.3087561,17445125.6623724,17443583.4730979,17447239.1689047,30.279267342682,57175603797.8805,199023337604.774,0.40409,12.5264817253114,1.07580798376716,234.328285154424,7581383,19112078.2270422,57196970535.0764,57193684831.8693,57201476882.2162,199120214976.307,199112956484.649,199130182810.999
"2213","Mauritania",2043,"Sub-Saharan Africa",17994822.0277618,17998608.2100363,17996991.1377476,18000824.2848811,30.279267342682,59373653144.8784,206384524653.288,0.40409,12.569903599548,1.09732414344251,234.04499350464,7737625,19872017.8331721,59396579498.1795,59393070543.4501,59401391734.5191,206488814844.984,206480924391.051,206499648776.839
"2214","Mauritania",2044,"Sub-Saharan Africa",18519138.1508986,18523105.7443407,18521411.33231,18525427.8462773,30.279267342682,61656203933.2414,214043205587.478,0.40409,12.6253895784099,1.11927062631136,233.762044340863,7894409,20655167.732842,61680772310.5351,61677023389.7689,61685913460.3745,214155240302.803,214146681885.783,214166989647.972
"2215","Mauritania",2045,"Sub-Saharan Africa",19044845.8760604,19049000.9466002,19047226.5281471,19051432.7450682,30.279267342682,64026504722.2443,222010092130.4,0.40409,12.684038549061,1.14165603883758,233.479437249045,8051401,21461267.7735866,64052793169.2589,64048789973.6126,64058282865.4257,222130218468.059,222120952826.148,222142937048.473
"2216","Mauritania",2046,"Sub-Saharan Africa",19565192.8295084,19569537.4216782,19567681.9750891,19572080.3666854,30.279267342682,66487928958.2312,230296344058.903,0.40409,12.7475437153949,1.16448915961433,233.197171815637,8208434,22290460.4453283,66516015053.026,66511743916.7253,66521872097.0662,230424922343.475,230414907845.348,230438667234.648
"2217","Mauritania",2047,"Sub-Saharan Africa",20089168.9672357,20093711.2995877,20091771.282365,20096370.2362856,30.279267342682,69043979775.7532,238913584615.833,0.40409,12.8134008294814,1.18777894280662,232.91524762759,8365486,23143269.8221843,69073949758.3327,69069394016.8583,69080196984.7341,239050987638.016,239040180596.016,239065818754.653
"2218","Mauritania",2048,"Sub-Saharan Africa",20614720.1193315,20619468.1010354,20617440.0979682,20622247.7023203,30.279267342682,71698294983.2799,247873916605.369,0.40409,12.882103136112,1.21153452166275,232.633664272355,8522308,24019589.4851626,71730238700.287,71725380708.5496,71736900289.7515,248020531780.132,248008885645.092,248036512955.321
"2219","Mauritania",2049,"Sub-Saharan Africa",21127394.7541509,21132351.4458019,21130234.0321031,21135253.6257528,30.279267342682,74454652240.5811,257189939193.233,0.40409,12.9571770789736,1.23576521209601,232.352421337881,8678763,24919595.9699571,74488661000.7201,74483482940.1993,74495761327.4059,257346168888.444,257333634095.85,257363368085.357
"2220","Mauritania",2050,"Sub-Saharan Africa",21638262.6702771,21643436.5258346,21641226.0438015,21646466.2958468,30.279267342682,77316974435.1468,266874765434.561,0.40409,13.0356870960294,1.26048051633793,232.071518412616,8835881,25846862.892445,77353147264.7524,77347628683.6996,77360714360.2704,267041026719.498,267027550787.746,267059515883.465
