"","location","year","region","hc_sq","hc_cf","hc_cf_lower","hc_cf_upper","sav_rate","gdp_sq","cs_sq","capital_share","tech_level","tc_share","he_pc","pop","tc"
"541","Cambodia",2021,"East Asia and Pacific",62456169.3086235,62456169.3086235,62456169.3086235,62456169.3086235,22.0643413329783,72237982362,204145628519.442,0.516049904761905,23.0363205295446,1.36293464082586,360.3346672,16497441,81021011.4644214
"542","Cambodia",2022,"East Asia and Pacific",63282650.3909058,63289193.8393455,63286483.723139,63293255.2387593,22.0643413329783,76022530257.9452,209877182093.878,0.516049904761905,23.758770676344,1.39019333364238,361.218954929907,16680606,83764028.8608375
"543","Cambodia",2023,"East Asia and Pacific",64073568.1224397,64083919.844816,64079663.5224682,64090295.6412272,22.0643413329783,80315522541.6114,216157193555.264,0.516049904761905,24.5867264300251,1.41799720031522,362.105412766829,16855079,86544840.6265172
"544","Cambodia",2024,"East Asia and Pacific",64927626.4968771,64940265.0024778,64935095.3151593,64948005.2755787,22.0643413329783,85242076694.3138,223070424914.447,0.516049904761905,25.5253040595379,1.44635714432153,362.99404603637,17034573,89434750.2411248
"545","Cambodia",2025,"East Asia and Pacific",65696530.1253976,65710606.2500126,65704868.8122601,65719191.3089908,22.0643413329783,90688192974.3135,230725006429.877,0.516049904761905,26.5544905948878,1.47528428720796,363.884860077199,17209122,92384351.9875486
"546","Cambodia",2026,"East Asia and Pacific",66330157.7085437,66345215.1845754,66339089.3144815,66354374.8731302,22.0643413329783,96600156274.309,239198508554.946,0.516049904761905,27.6588012092485,1.50478997295212,364.77786024109,17377941,95389962.6076382
"547","Cambodia",2027,"East Asia and Pacific",66945232.4577056,66960999.9642765,66954592.4393699,66970576.796172,22.0643413329783,102630904030.514,248552771335.752,0.516049904761905,28.7079612150401,1.53488577241116,365.673051892949,17542207,98458507.5178656
"548","Cambodia",2028,"East Asia and Pacific",67553615.7424585,67569936.9965278,67563311.2934256,67579837.6895857,22.0643413329783,109103835147.719,258769965747.379,0.516049904761905,29.7899551554531,1.56558348785938,366.570440410849,17701110,101586073.522666
"549","Cambodia",2029,"East Asia and Pacific",68176516.3335939,68193331.043317,68186510.8984713,68203519.4777914,22.0643413329783,116864574486.17,269904510054.372,0.516049904761905,31.1172457557437,1.59689515761657,367.47003118606,17857038,104787083.502745
"550","Cambodia",2030,"East Asia and Pacific",68744632.2892897,68761898.594154,68754900.0589166,68772350.0335514,22.0643413329783,125177348269.587,282194683163.615,0.516049904761905,32.4806879474066,1.6288330607689,368.371829623083,18009933,108062518.264892
