"","location","region","gdp_dif","gdp_dif_lower","gdp_dif_upper","gdp_dif002","gdp_dif002_lower","gdp_dif002_upper","gdp_dif003","gdp_dif003_lower","gdp_dif003_upper","gdp_dif005","gdp_dif005_lower","gdp_dif005_upper","gdp_dif_prop","gdp_dif_prop_lower","gdp_dif_prop_upper","gdp_dif_prop002","gdp_dif_prop002_lower","gdp_dif_prop002_upper","gdp_dif_prop003","gdp_dif_prop003_lower","gdp_dif_prop003_upper","gdp_dif_prop005","gdp_dif_prop005_lower","gdp_dif_prop005_upper","gdp_dif_perc","gdp_dif_perc_lower","gdp_dif_perc_upper","gdp_dif_perc002","gdp_dif_perc002_lower","gdp_dif_perc002_upper","gdp_dif_perc003","gdp_dif_perc003_lower","gdp_dif_perc003_upper","gdp_dif_perc005","gdp_dif_perc005_lower","gdp_dif_perc005_upper","inc","dea","pop","gdp_pc","le","gdp_sq","gdp_sq002","gdp_sq003","gdp_sq005","pop_m","ni"
"21","Bermuda",NA,277452298.38263,264234329.949444,290670266.815817,187865316.118314,178588664.793984,197141967.442644,156154747.597003,148296462.134364,164013033.059641,110029573.321021,104269572.114588,115789574.527454,0.00140242835768525,0.00133561595832958,0.00146924075704092,0.00129293621953483,0.00122909197866565,0.00135678046040401,0.00123816844853069,0.00117585922470551,0.00130047767235588,0.00113070363049429,0.0010715117779842,0.00118989548300438,4537.39947944704,4321.23546337038,4753.56349552369,3072.31186236501,2920.60335919025,3224.02036553978,2553.72355749128,2425.21072636544,2682.23638861712,1799.40166875848,1705.2037593231,1893.59957819386,0.0045526368535996,0.000370764393937465,63927,76077.3209911305,81.136,197837056604.142,145301302013.106,126117530924.252,97310710210.5273,61147.8666666667,1
"22","Bhutan",NA,443784139.325474,403362637.228594,484205641.422354,286468813.601121,259724830.559505,313212796.642738,232562387.579718,210559240.465044,254565534.694392,156564319.154497,141323523.995421,171805114.313572,0.000733527494185205,0.000666715094829534,0.000800339893540876,0.00068386911211384,0.000620024871244661,0.000747713352983019,0.00065857769279559,0.000596268468970405,0.000720886916620774,0.000608060930614685,0.000548869078104598,0.000667252783124772,530.524655186069,482.202505830653,578.846804541484,342.461018972638,310.489749330102,374.432288615175,278.01822901447,251.714422723052,304.322035305887,187.165840492022,168.946132124752,205.385548859292,0.0023612871818982,0.000230377457468645,770004,11212.6059163329,71.609,605000007284.56,418894213127.489,353128249140.229,257481300428.605,836500.5,1
"23","Bolivia (Plurinational State of)","Latin America and Caribbean",6594445751.16096,6245703965.29405,7093656488.06999,4303013661.44494,4069980188.02313,4636678820.47477,3510538387.19463,3317892113.02792,3786417033.3691,2383605882.0821,2248952648.12409,2576501117.9137,0.00140089398040056,0.00132680886590112,0.00150694403262278,0.00128654149663685,0.00121686771513138,0.00138630275859149,0.00122875122858828,0.00116132158676218,0.00132531368939619,0.00111441589781955,0.00105146098327447,0.00120460090660826,455.819230688106,431.713609299884,490.325520168015,297.431573601911,281.323906242451,320.49507307336,242.654343872706,229.338307954124,261.723541953589,164.758865328906,155.451406320452,178.09210989835,0.002989019303336,0.000309827262375018,11862346,7727.72323105396,64.467,4707312504316.28,3344636510126.92,2856996848115.39,2138883595205.19,14388880.5,0
"24","Bosnia and Herzegovina",NA,4258515599.6487,4088016463.83406,4429014735.46334,2799907128.94609,2683882454.96589,2915931802.9263,2294564362.8264,2197738495.20857,2391390230.44422,1574299793.40872,1505313095.03295,1643286491.78449,0.00166875710863076,0.00160194470927509,0.00173556950798643,0.00154068905362553,0.00147684481275635,0.00160453329449471,0.00147659430255721,0.00141428507873203,0.0015389035263824,0.00135077809740255,0.00129158624489246,0.00140996994991264,1410.00889961137,1353.55605982501,1466.46173939774,927.058708021406,888.64254655423,965.474869488582,759.738011194139,727.678639363967,791.797383024312,521.255979324288,498.41425046631,544.097708182266,0.0057419955757858,0.000639735481339307,3340974,14489.0366033977,76.225,2551908589706.54,1817308380531.03,1553957210083.09,1165476251381.32,3020204.76666667,1
"25","Botswana","Sub-Saharan Africa",1727655253.88772,1649728359.33242,1827249185.4309,1127825507.82134,1075345599.76826,1194929502.74669,920198136.811983,876648710.132895,975897900.258584,624723059.231729,594063541.466896,663959300.6401,0.000732490208100836,0.000699450811449788,0.000774715981719434,0.000683649025994751,0.000651837511025481,0.000724325159361952,0.000658290204367012,0.000627135869401759,0.000698136632212963,0.000606741461225731,0.000576964425891086,0.00064484835370125,545.163400651745,520.573488548391,576.590368666445,355.886504441251,339.326415224536,377.061239382438,290.369472965712,276.62740637495,307.945590879119,197.13200690354,187.45736439057,209.51304342506,0.0023727134412307,0.000307204163477271,2523541,13667.7532998275,65.647,2358605254761.15,1649714202664.57,1397860898897.64,1029636342915.6,3150918.93333333,0
"26","Brazil","Latin America and Caribbean",98860209112.8911,98078301242.1699,99629330191.8994,66516264079.033,65961524055.3403,67062599703.3735,55145941500.8282,54673100066.8353,55611924916.2847,38712283853.253,38360851231.4795,39059099707.8143,0.000893792604287065,0.000886723395367161,0.000900746208152438,0.000811797787221086,0.000805027462249412,0.000818465540695525,0.000772084006533776,0.000765463876404944,0.000778608119325985,0.000696569156343198,0.000690245656397077,0.000702809584527026,434.158394353075,430.724536901927,437.536096825301,292.115449381063,289.679231208646,294.514758461734,242.181092189964,240.104543094953,244.227523340223,170.010392960793,168.467027595075,171.533483149492,0.0033983060620615,0.00029658881132278,212564935,14160.3788037759,74.009,110607548819166,81936986188061.5,71424794496654,55575650315156.3,225709140.8,0
"27","Brunei Darussalam","East Asia and Pacific",949301087.192116,794297234.420292,1138683451.15382,651130232.468247,543443001.11869,782725701.667663,545242987.001252,454460498.183674,656192235.996172,390661014.80852,324706686.481782,471285847.587227,0.00100227560530582,0.000838621963213048,0.00120222620689567,0.00093397825506034,0.000779512178363398,0.00112273819979645,0.000899991879990623,0.000750144005320074,0.00108312751963574,0.000833632515647636,0.000692892409630613,0.00100567804777202,1957.65483240369,1638.00488623383,2348.20036635885,1342.76497026452,1120.69166635292,1614.14199666472,1124.40360886388,937.191374169161,1353.20386662921,805.623667548645,669.612225753416,971.888718363901,0.007374020218588,0.000319596715238776,439893,61860.1079785311,74.795,947145757281.466,697157807411.887,605831007060.789,468624972605.611,479946.633333333,0
"28","Bulgaria","Europe and central Asia",13802125021.1242,13393663409.2872,14224151172.9782,9240648828.64415,8962608002.76896,9528795515.66574,7640479737.58323,7408506112.14533,7881235047.04025,5332823492.89756,5167756807.50091,5504613109.01698,0.00171639038637483,0.00166559533976518,0.00176887227802067,0.00161069023168867,0.00156222635750057,0.00166091560684203,0.00155603566342905,0.00150879265689626,0.00160506711963883,0.00144545553724089,0.00140071440625496,0.00149201891069418,2297.28633572653,2229.30019025213,2367.53022284461,1538.05419490125,1491.77585811763,1586.01459561972,1271.71502016403,1233.10431064272,1311.78739176063,887.618574844436,860.14415041595,916.211993403306,0.0042842163748563,0.000356850676606507,7020235,22221.4783408248,73.65853659,8041367005250.8,5737073862400.04,4910221479593.74,3689372212082.67,6017035.3,0
"29","Burkina Faso",NA,1591988674.21676,1353427263.75764,1830550084.67589,1031720059.79621,875199221.970908,1188240897.62152,838932263.147524,710722360.840445,967142165.454604,566160798.553694,478153121.539746,654168475.567642,0.000445858292281094,0.000379045892925423,0.000512670691636764,0.000420834598909518,0.000356990358040339,0.000484678839778697,0.000407715919113849,0.000345406695288665,0.000470025142939034,0.000380786172548018,0.000321594320037931,0.000439978025058106,51.6041859064556,43.871236812772,59.3371350001392,33.4431234539637,28.3695129790996,38.5167339288278,27.1939224012933,23.0380086433276,31.349836159259,18.3520571312394,15.4992952998417,21.2048189626372,0.0013525955855494,0.000125434833509242,21231893,2118.18071751775,59.731,3570615825202.79,2451604650543.57,2057639213526.18,1486820791745.79,30849991.0666667,1
"30","Burundi","Sub-Saharan Africa",148840391.984951,124043062.110325,188190944.47504,98808997.3800151,81421194.7276065,126401901.276381,81386325.0978982,66658849.7683539,104759144.396283,56427377.1834079,45627051.8753376,73572278.5394548,0.000385213283119105,0.000321035402866291,0.000487056306475228,0.000350102947961457,0.000288493973793164,0.000447870937244675,0.000333186148299325,0.000272893577362848,0.000428871751839692,0.000301148321041526,0.000243507863597333,0.000392649264652889,8.36194191516005,6.96881314616534,10.5726794029036,5.5511483527296,4.57429123838924,7.101334136138,4.57233224181354,3.74493390175103,5.88543115777438,3.17012367503165,2.56335496334989,4.13333444979841,0.0009714201222472,0.000141139846481787,12053897,721.171152864505,61.566,386384370704.399,282228407259.493,244266832559.867,187374038773.495,17957021.7333333,0
